"大类","来源表","序号","原始字段","归一化字段","建议归属实体","数据属性","主要生产方式","时间变化性","审计要求","敏感级","AI适用性","数据校验","建议存储方式","使用层级","用途体系"
"单一项目管控类","IP事务管控表之风险管控表","27","预计销量","预计销量","Project / ProjectSolutionVersion","度量","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","28","项目阶段方案变动点","项目阶段方案变动点","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","风险"
"单一项目管控类","IP事务管控表之风险管控表","29","其他备注","备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","跨部门","风险"
"单一项目管控类","IP事务管控表之申请管控表","1","专利名称","专利标题","PatentDocument / PatentFamily / Party","业务事实/描述","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","布局"
"单一项目管控类","IP事务管控表之申请管控表","2","申请保护主题","保护主题","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","布局"
"单一项目管控类","IP事务管控表之申请管控表","3","申请专利号","申请号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","布局"
"单一项目管控类","IP事务管控表之申请管控表","4","布局国家","申请/布局国家","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","ISO国家/地区代码，多选用关联表","对应领域实体的结构化字段","跨部门","布局"
"单一项目管控类","IP事务管控表之申请管控表","5","当前法律状态","法律状态","PatentDocument / PatentFamily / Party","当前状态快照（应有事件历史）","外部数据库自动采集 + 人工校验","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","不宜AI生成；应结构化采集/规则计算","法域标准化状态映射 + 原始状态并存","当前快照字段 + 状态事件表（双层）","跨部门","布局"
"单一项目管控类","会议展示用精选管控表","1","所涉风险主题","风险主题","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","分享阐释"
"单一项目管控类","会议展示用精选管控表","2","关注等级","风险等级","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","中","AI可辅助，不得作为最终责任结论","枚举：无/低/中/高/关键（建议可配置）","对应领域实体的结构化字段","跨部门","分享阐释"
"单一项目管控类","会议展示用精选管控表","3","风险专利号","风险专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","跨部门","分享阐释"
"单一项目管控类","会议展示用精选管控表","4","风险专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","分享阐释"
"单一项目管控类","会议展示用精选管控表","5","是否冲突","是否冲突","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","三值：是/否/待定","对应领域实体的结构化字段","跨部门","分享阐释"
"单一项目管控类","会议展示用精选管控表","6","采用状态","采用状态","RiskCase / RiskAssessment / Mitigation","当前状态快照（应有事件历史）","人工维护/系统派生","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","枚举：未采用/拟采用/已采用/已规避/已取消","当前快照字段 + 状态事件表（双层）","跨部门","分享阐释"
"单一项目管控类","会议展示用精选管控表","7","应对措施","应对措施","RiskCase / RiskAssessment / Mitigation","业务事实/描述","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","分享阐释"
"单一项目管控类","会议展示用精选管控表","8","风险结论详情","风险结论","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","跨部门","分享阐释"
"单一项目管控类","会议展示用精选管控表","9","其他备注","备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","跨部门","分享阐释"
"数据库类","产品品类数据总库","1","独立权利要求","独立权利要求","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","2","权利要求翻译","权利要求翻译","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","3","摘要翻译","摘要翻译","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","4","AI技术问题","技术问题摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","5","技术手段","技术方案摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","6","技术效果","技术效果摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","7","同族专利号","专利族关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","数据库"
"数据库类","产品品类数据总库","8","标准申请人","标准申请人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","9","优先权日","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","10","申请日","申请日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","11","首次公开日","公开日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","12","预计失效日","预计失效日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","13","备注","备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","数据库"
"数据库类","产品品类数据总库","14","技术模块分类（可能多级）","技术模块","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","技术分类树引用，可多选","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","15","相关度","相关性","RelevanceReview","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","普通变更历史","低/按记录继承","AI可辅助，不得作为最终责任结论","枚举/评分：无关/低/中/高 或 0-100","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","16","外部链接","外部专利链接","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","数据库"
"数据库类","产品品类数据总库","17","公开号","公开号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","产品品类数据总库","18","历史分析报告号/链接","历史分析报告","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","数据库"
"数据库类","产品品类数据总库","19","历史分析结论","历史分析结论","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","数据库"
"数据库类","单一技术主题模块库","1","独立权利要求","独立权利要求","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","2","权利要求翻译","权利要求翻译","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","3","摘要翻译","摘要翻译","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","4","AI技术问题","技术问题摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","5","技术手段","技术方案摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","6","技术效果","技术效果摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","7","同族专利号","专利族关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","数据库"
"数据库类","单一技术主题模块库","8","标准申请人","标准申请人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","9","优先权日","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","10","申请日","申请日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","11","首次公开日","公开日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","12","预计失效日","预计失效日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","13","其他备注","备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","数据库"
"数据库类","单一技术主题模块库","14","技术模块分类（可能多级）","技术模块","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","技术分类树引用，可多选","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","15","相关度","相关性","RelevanceReview","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","普通变更历史","低/按记录继承","AI可辅助，不得作为最终责任结论","枚举/评分：无关/低/中/高 或 0-100","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","16","外部链接","外部专利链接","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","数据库"
"数据库类","单一技术主题模块库","17","公开号","公开号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","单一技术主题模块库","18","历史分析报告号/链接","历史分析报告","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","数据库"
"数据库类","单一技术主题模块库","19","历史分析结论","历史分析结论","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","数据库"
"数据库类","特殊国家地区专利库","1","独立权利要求","独立权利要求","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","2","权利要求翻译","权利要求翻译","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","3","摘要翻译","摘要翻译","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","4","AI技术问题","技术问题摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","5","技术手段","技术方案摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","6","技术效果","技术效果摘要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","7","同族专利号","专利族关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","数据库"
"数据库类","特殊国家地区专利库","8","标准申请人","标准申请人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","9","优先权日","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","10","申请日","申请日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","11","首次公开日","公开日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","12","预计失效日","预计失效日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","13","其他备注","备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","数据库"
"数据库类","特殊国家地区专利库","14","技术模块分类（可能多级）","技术模块","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","技术分类树引用，可多选","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","15","相关度","相关性","RelevanceReview","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","普通变更历史","低/按记录继承","AI可辅助，不得作为最终责任结论","枚举/评分：无关/低/中/高 或 0-100","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","16","外部链接","外部专利链接","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","数据库"
"数据库类","特殊国家地区专利库","17","公开号","公开号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","数据库"
"数据库类","特殊国家地区专利库","18","历史分析报告号/链接","历史分析报告","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","数据库"
"数据库类","特殊国家地区专利库","19","历史分析结论","历史分析结论","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","数据库"
"数据库类","技术主题专利调查表","1","调查主题","调查主题","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","技术主题专利调查表","2","技术细分支","技术细分支","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","技术主题专利调查表","3","公开号","公开号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","技术主题专利调查表","4","专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","技术主题专利调查表","5","独立权利要求","独立权利要求","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","技术主题专利调查表","6","保护点概要","保护点概要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","技术主题专利调查表","7","技术模块","技术模块","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","技术分类树引用，可多选","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","技术主题专利调查表","8","相关度","相关性","RelevanceReview","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","普通变更历史","低/按记录继承","AI可辅助，不得作为最终责任结论","枚举/评分：无关/低/中/高 或 0-100","对应领域实体的结构化字段","个人/小组","过程性"
"数据库类","技术主题专利调查表","9","外部链接","外部专利链接","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","个人/小组","过程性"
"数据库类","技术主题专利调查表","10","调查备注","调查备注","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","个人/小组","过程性"
"数据库类","月度竞对跟踪表","1","公开号","公开号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","2","专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","3","保护主题概要","保护点概要","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","4","产品类型","产品品类","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","小组","数据库/流程性"
"数据库类","月度竞对跟踪表","5","独立权利要求","独立权利要求","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","来源审计：数据源/抓取时间/原文证据","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","数据库/流程性"
